:START_ID(Person),:END_ID(Event)
Nguyễn_Đức_Cương30,Ca_múa_nhạc_tạp_kỹ128
Hà_Giang_Dương41,Ca_múa_nhạc_tạp_kỹ128
Hà_Giang_Hương59,Ca_múa_nhạc_tạp_kỹ128
Đinh_Giang_Dương60,Ca_múa_nhạc_tạp_kỹ128
Hồ_Thị_Chung61,Ca_múa_nhạc_tạp_kỹ128
Lê_Đức_Mạnh83,Ca_múa_nhạc_tạp_kỹ128
Đinh_Thị_Hoàng90,Ca_múa_nhạc_tạp_kỹ128
Trần_Sinh_Hương135,Ca_múa_nhạc_tạp_kỹ128
Hồ_Văn_Cương102,Ca_múa_nhạc_tạp_kỹ128
Lê_Thế_Hùng136,Ca_múa_nhạc_tạp_kỹ128
Đinh_Giang_Hương142,Ca_múa_nhạc_tạp_kỹ128
Lê_Xuân_Mạnh147,Ca_múa_nhạc_tạp_kỹ128
Đinh_Thị_Dương151,Ca_múa_nhạc_tạp_kỹ128
Trần_Giang_Việt162,Ca_múa_nhạc_tạp_kỹ128
Hồ_Đức_Hùng177,Ca_múa_nhạc_tạp_kỹ128
Đinh_Đức_Chung182,Ca_múa_nhạc_tạp_kỹ128
Đinh_Giang_Dương9,Ca_múa_nhạc_tạp_kỹ128
Trần_Thị_Hùng50,Ca_múa_nhạc_tạp_kỹ128
Nguyễn_Xuân_Hùng76,Lễ_hội_chọi_trâu0
Đinh_Văn_Hùng96,Lễ_hội_chọi_trâu0
Nguyễn_Thị_Hoàng98,Lễ_hội_chọi_trâu0
Đinh_Đức_Cương99,Lễ_hội_chọi_trâu0
Trần_Sinh_Hùng133,Lễ_hội_chọi_trâu0
Hồ_Sinh_Cương105,Lễ_hội_chọi_trâu0
Đinh_Giang_Hương113,Lễ_hội_chọi_trâu0
Hồ_Văn_Hoàng114,Lễ_hội_chọi_trâu0
Đinh_Giang_Hoàng119,Lễ_hội_chọi_trâu0
Lê_Văn_Hùng129,Lễ_hội_chọi_trâu0
Đinh_Thế_Dương189,Lễ_hội_chọi_trâu0
Nguyễn_Đức_Việt163,Lễ_hội_chọi_trâu0
Nguyễn_Văn_Hương165,Lễ_hội_chọi_trâu0
Đinh_Xuân_Chung169,Lễ_hội_chọi_trâu0
Hà_Xuân_Dương181,Lễ_hội_chọi_trâu0
Hồ_Thị_Cương62,Xiếc_khỉ_đạp_xe1
Lê_Trần_Xuân_Chung80,Xiếc_khỉ_đạp_xe1
Nguyễn_Thị_Chung77,Xiếc_khỉ_đạp_xe1
Hồ_Sinh_Hương130,Xiếc_khỉ_đạp_xe1
Lê_Đức_Mạnh134,Xiếc_khỉ_đạp_xe1
Đinh_Đức_Dương186,Xiếc_khỉ_đạp_xe1
Hồ_Thị_Chung150,Xiếc_khỉ_đạp_xe1
Đinh_Giang_Mạnh11,Xiếc_khỉ_đạp_xe1
Trần_Giang_Cương23,Xiếc_khỉ_đạp_xe1
Đinh_Đức_Chung25,Xiếc_khỉ_đạp_xe1
Đinh_Văn_Dương51,Xiếc_khỉ_đạp_xe1
Hà_Văn_Hùng54,Xiếc_khỉ_đạp_xe1
Đinh_Xuân_Chung33,Liveshow_Sơn_Tùng_MTP2
Lê_Trần_Văn_Cương39,Liveshow_Sơn_Tùng_MTP2
Hà_Thế_Hoàng79,Liveshow_Sơn_Tùng_MTP2
Nguyễn_Đức_Hương74,Liveshow_Sơn_Tùng_MTP2
Đinh_Văn_Cương84,Liveshow_Sơn_Tùng_MTP2
Hà_Giang_Mạnh104,Liveshow_Sơn_Tùng_MTP2
Nguyễn_Đức_Dương108,Liveshow_Sơn_Tùng_MTP2
Nguyễn_Đức_Hùng146,Liveshow_Sơn_Tùng_MTP2
Lê_Trần_Giang_Dương148,Liveshow_Sơn_Tùng_MTP2
Đinh_Thế_Hùng168,Liveshow_Sơn_Tùng_MTP2
Hà_Đức_Dương183,Liveshow_Sơn_Tùng_MTP2
Trần_Xuân_Mạnh1,Liveshow_Sơn_Tùng_MTP2
Lê_Giang_Dương6,Liveshow_Sơn_Tùng_MTP2
Hồ_Sinh_Việt14,Liveshow_Sơn_Tùng_MTP2
Đinh_Sinh_Việt28,Xiếc_khỉ_đạp_xe3
Lê_Đức_Hoàng36,Xiếc_khỉ_đạp_xe3
Lê_Thị_Việt57,Xiếc_khỉ_đạp_xe3
Hà_Sinh_Hương64,Xiếc_khỉ_đạp_xe3
Hà_Giang_Cương82,Xiếc_khỉ_đạp_xe3
Nguyễn_Giang_Cương93,Xiếc_khỉ_đạp_xe3
Nguyễn_Thế_Việt100,Xiếc_khỉ_đạp_xe3
Hà_Sinh_Cương125,Xiếc_khỉ_đạp_xe3
Đinh_Sinh_Hùng137,Xiếc_khỉ_đạp_xe3
Hồ_Sinh_Hùng138,Xiếc_khỉ_đạp_xe3
Đinh_Xuân_Dương141,Xiếc_khỉ_đạp_xe3
Trần_Xuân_Chung143,Xiếc_khỉ_đạp_xe3
Đinh_Văn_Dương153,Xiếc_khỉ_đạp_xe3
Lê_Thế_Việt158,Xiếc_khỉ_đạp_xe3
Hồ_Giang_Mạnh166,Xiếc_khỉ_đạp_xe3
Hồ_Đức_Việt167,Xiếc_khỉ_đạp_xe3
Hồ_Thế_Hương171,Xiếc_khỉ_đạp_xe3
Trần_Xuân_Chung192,Xiếc_khỉ_đạp_xe3
Hồ_Đức_Việt194,Xiếc_khỉ_đạp_xe3
Nguyễn_Đức_Hương43,Xiếc_khỉ_đạp_xe3
Nguyễn_Sinh_Việt49,Xiếc_khỉ_đạp_xe3
Trần_Xuân_Chung34,Ca_múa_nhạc_tạp_kỹ4
Đinh_Văn_Chung40,Ca_múa_nhạc_tạp_kỹ4
Lê_Thế_Hùng56,Ca_múa_nhạc_tạp_kỹ4
Đinh_Sinh_Chung67,Ca_múa_nhạc_tạp_kỹ4
Nguyễn_Đức_Dương89,Ca_múa_nhạc_tạp_kỹ4
