DinhDanh,Nhan,Mota,LinkTrichRut,ThoiGianTrichRut,Age,Job,Quoctich
"Đinh_Thế_Việt0",Đinh Thế Việt,098856743,https://xuanhung937556578.wordpress.com/,Fri Dec 21  2018,52,Sinh vien,Duc
"Đinh_Sinh_Mạnh1",Đinh Sinh Mạnh,0123566789,https://vietjack.com/java/su_dung_iterator_trong_java.jsp,Thu Dec 20  2018,25,Giao vien,Viet Nam
Nguyễn_Thế_Việt2,Nguyễn Thế Việt,01648340941,https://techtalk.vn/category/dev,Wed Dec 19  2018,28,Cong nhan,Nga
Hồ_Sinh_Hương3,Hồ Sinh Hương,01648340941,https://linkerpt.com/lap-trinh,Tue Dec 18  2018,46,Tho sua ong nuoc,Lao
Trần_Xuân_Hùng4,Trần Xuân Hùng,024677588,https://www.facebook.com/,Mon Dec 17  2018,87,Ky su,Phap
"Đinh_Văn_Hùng5",Đinh Văn Hùng,024677588,https://linkerpt.com/lap-trinh,Sun Dec 16  2018,80,Sinh vien,Nga
"Đinh_Sinh_Hùng6",Đinh Sinh Hùng,01648340941,https://www.youtube.com/,Sat Dec 15  2018,65,Cong nhan,Nhat
Nguyễn_Đức_Hoàng7,Nguyễn Đức Hoàng,098856743,https://linkerpt.com/lap-trinh,Fri Dec 14  2018,33,Tho dien,Anh
Lê_Giang_Dương8,Lê Giang Dương,0123566789,https://search.maven.org/artifact/org.neo4j/neo4j-kernel/3.5.0/jar,Thu Dec 13  2018,1,Ky su,Duc
Trần_Sinh_Việt9,Trần Sinh Việt,037567888,https://search.maven.org/artifact/org.neo4j/neo4j-kernel/3.5.0/jar,Wed Dec 12  2018,39,Cong nhan,My
Hồ_Giang_Hương10,Hồ Giang Hương,098856743,https://neo4j.com/docs/cypher-manual/current/syntax/temporal/,Tue Dec 11  2018,42,Cong nhan,Anh
"Đinh_Thị_Hùng11",Đinh Thị Hùng,0123566789,https://www.youtube.com/,Mon Dec 10  2018,26,An trom,My
Nguyễn_Đức_Dương12,Nguyễn Đức Dương,024677588,https://xuanhung937556578.wordpress.com/,Sun Dec 09  2018,40,Sinh vien,Phap
Lê_Thế_Hương13,Lê Thế Hương,0123566789,https://vietjack.com/java/su_dung_iterator_trong_java.jsp,Sat Dec 08  2018,78,An trom,Nhat
Nguyễn_Sinh_Chung14,Nguyễn Sinh Chung,037567888,https://violympic.vn/bong-da-c48.html,Fri Dec 07  2018,4,Ky su,My
"Đinh_Thị_Hoàng15",Đinh Thị Hoàng,01648340941,https://xuanhung937556578.wordpress.com/,Thu Dec 06  2018,9,Sinh vien,My
Lê_Trần_Đức_Dương16,Lê Trần Đức Dương,01648340941,https://www.facebook.com/,Wed Dec 05  2018,20,Tho dien,Nga
Nguyễn_Xuân_Việt17,Nguyễn Xuân Việt,024677588,https://neo4j.com/docs/cypher-manual/current/syntax/temporal/,Tue Dec 04  2018,43,Sinh vien,Campuchia
Lê_Xuân_Dương18,Lê Xuân Dương,01648340941,https://techtalk.vn/category/dev,Mon Dec 03  2018,15,Giao vien,Campuchia
Hồ_Văn_Việt19,Hồ Văn Việt,0123566789,https://www.24h.com.vn/bong-da-c48.html,Sun Dec 02  2018,58,Ky su,Lao
